出発地点,出発時刻,便タイプ

南大沢東,07:45,2
南大沢東,07:45,1
南大沢西,07:47,2
南大沢西,07:47,1
日野,07:45,2

日野,08:30,1

南大沢東,08:30,2
南大沢西,08:32,2
日野,08:30,2

南大沢東,09:15,2
南大沢東,09:15,1
南大沢東,09:45,2
南大沢西,09:17,2
南大沢西,09:17,1
南大沢西,09:47,2
日野,09:15,2
日野,09:45,2
日野,09:45,1

南大沢東,10:40,2
南大沢東,10:40,1
南大沢西,10:42,2
南大沢西,10:42,1
日野,10:40,2


南大沢東,12:20,2
南大沢西,12:22,2
日野,12:20,2
日野,12:20,1

南大沢東,13:00,2
南大沢東,13:00,1
南大沢東,13:50,2
南大沢西,13:02,2
南大沢西,13:02,1
南大沢西,13:52,2
日野,13:00,2
日野,13:50,2
日野,13:50,1

南大沢東,14:40,2
南大沢東,14:40,1
南大沢西,14:42,2
南大沢西,14:42,1
日野,14:40,2

南大沢東,15:10,2
南大沢西,15:12,2
日野,15:10,2
日野,15:10,1

南大沢東,16:25,2
南大沢東,16:25,1
南大沢西,16:27,2
南大沢西,16:27,1
日野,16:20,2

南大沢東,17:05,2
南大沢西,17:07,2
日野,17:10,2
日野,17:10,1

南大沢東,18:10,2
南大沢東,18:10,1
南大沢東,18:50,2
南大沢西,18:12,2
南大沢西,18:12,1
南大沢西,18:52,2
日野,18:05,2
日野,18:55,1
日野,18:55,2